"시도별(1)",2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020
"시도별(1)",일반입원실,일반입원실,일반입원실,중환자실,중환자실,일반입원실,일반입원실,일반입원실,중환자실,중환자실,일반입원실,일반입원실,일반입원실,중환자실,중환자실,일반입원실,일반입원실,중환자실,중환자실,일반입원실,일반입원실,중환자실,중환자실,일반입원실,일반입원실,중환자실,중환자실,일반입원실,일반입원실,일반입원실,중환자실,중환자실,일반입원실,일반입원실,일반입원실,중환자실,중환자실,일반입원실,일반입원실,일반입원실,중환자실,중환자실,일반입원실,일반입원실,일반입원실,중환자실,중환자실
"시도별(1)",소계,상급,일반,소계,성인소아,소계,상급,일반,소계,성인소아,소계,상급,일반,소계,성인소아,상급,일반,소계,성인소아,상급,일반,소계,성인소아,상급,일반,소계,성인소아,소계,상급,일반,소계,성인소아,소계,상급,일반,소계,성인소아,소계,상급,일반,소계,성인소아,소계,상급,일반,소계,성인소아
"시도별(1)",병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개),병실수 (개)
"계",132167,52936,79231,924,810,137012,54616,82396,877,764,141738,55840,85898,887,765,53524,92905,838,720,53212,94429,771,654,54482,97369,809,678,154753,55199,99523,842,706,159388,49541,109819,895,749,164456,42271,122156,955,803,169293,43119,126158,970,815
"서울",21867,10977,10890,190,159,22167,11033,11134,186,155,22240,11009,11231,188,154,10043,12504,181,149,9533,12508,172,142,9567,12786,172,141,22391,9539,12825,172,140,22895,8000,14868,208,166,23800,6923,16850,242,197,24388,7006,17368,260,214
"부산",13010,5617,7393,89,77,13414,5723,7691,87,75,14126,6032,8094,89,76,5779,8851,81,68,5679,9207,76,65,5785,9798,79,66,15567,5804,9763,80,67,15862,5263,10599,88,73,16404,4476,11928,90,75,16867,4500,12367,70,59
"대구",6638,2569,4069,54,48,6989,2671,4318,50,43,7282,2737,4545,47,39,2512,4843,42,31,2684,4796,41,28,2634,4825,45,28,7469,2617,4852,49,31,7738,2389,5349,49,31,8238,2020,6218,51,31,8703,2122,6581,55,34
"인천",6171,2183,3988,35,30,6349,2232,4117,37,32,6421,2259,4162,38,31,1957,4713,44,40,1927,4600,43,38,1927,4657,42,37,6927,1944,4979,48,42,7194,1637,5557,46,40,7364,1392,5972,47,41,7630,1430,6200,45,39
"광주",6725,3019,3706,39,35,7346,3185,4161,32,29,7961,3298,4663,28,25,3447,5241,26,23,3539,5646,23,20,3600,5966,24,21,10159,3715,6444,26,23,10273,3100,7173,26,23,10638,2428,8210,27,24,10698,2390,8308,27,24
"대전",4972,2052,2920,22,18,5125,2100,3025,22,18,5342,2212,3130,23,19,2102,3344,22,18,1953,3435,18,14,1928,3383,22,18,5419,1945,3474,24,20,5609,1982,3627,25,21,5692,1749,3943,25,21,5805,1708,4097,26,22
"울산",2818,1237,1581,14,12,3148,1417,1731,13,11,3234,1453,1781,12,10,1490,1950,13,11,1490,1928,12,11,1563,2043,13,12,3630,1547,2083,14,13,3688,1498,2190,14,13,3741,1358,2383,14,13,3772,1316,2456,15,14
"세종",-,-,-,-,-,201,59,142,-,-,212,68,144,-,-,82,176,-,-,86,182,-,-,91,189,-,-,314,114,200,-,-,338,147,190,-,-,414,165,248,-,-,615,240,374,2,1
"경기",23554,9261,14293,167,145,24518,9697,14821,165,143,25433,9890,15543,164,142,9366,17045,162,138,9218,17354,155,129,9358,17829,170,143,28007,9527,18480,175,146,29077,8622,20455,180,151,30318,7752,22566,184,155,32401,8319,24082,192,159
"강원",4242,1504,2738,37,34,4138,1545,2593,35,31,4084,1594,2490,39,34,1532,2583,41,36,1451,2590,38,33,1542,2542,42,36,3933,1510,2423,40,34,3997,1321,2676,40,34,4018,1029,2989,52,46,4064,1018,3046,52,46
"충북",4052,1415,2637,23,20,3987,1413,2574,20,18,4069,1463,2606,28,26,1443,2765,25,24,1476,2710,19,18,1497,2883,20,18,4481,1530,2951,21,19,4727,1374,3353,22,20,4659,1223,3436,18,16,4717,1262,3455,21,19
"충남",5370,1622,3748,25,23,5359,1585,3774,23,21,5499,1637,3862,20,18,1549,4095,20,18,1614,3982,20,18,1589,4050,20,18,5896,1723,4173,19,17,5785,1459,4326,21,19,6027,1394,4633,22,20,6125,1388,4737,22,20
"전북",7177,2225,4952,39,35,7669,2342,5327,35,32,8096,2443,5653,40,37,2503,5863,36,33,2675,5798,32,29,2905,5857,32,28,8963,2964,5999,32,28,9305,2760,6545,31,28,9450,2207,7243,35,32,9534,2194,7340,34,31
"전남",7376,2635,4741,50,46,7786,2768,5018,47,44,8272,2868,5404,43,41,3062,5519,31,30,3123,5872,26,25,3311,5937,30,27,9368,3353,6015,31,28,9709,3065,6644,31,28,10105,2453,7652,36,33,9755,2419,7336,35,32
"경북",6957,2169,4788,56,51,7274,2241,5033,51,46,7679,2285,5394,50,45,2313,5686,47,44,2263,5988,40,37,2273,6269,41,38,8765,2383,6382,45,42,8836,2116,6720,47,45,9008,1811,7197,47,45,9054,1798,7256,49,47
"경남",10134,3893,6241,71,66,10426,4041,6385,61,55,10596,4040,6556,58,52,3851,7044,48,42,4009,7128,37,32,4422,7601,39,33,12289,4506,7783,49,43,13163,4397,8766,50,44,13388,3512,9875,47,40,13952,3644,10307,47,40
"제주",1104,558,546,13,11,1116,564,552,13,11,1192,552,640,20,16,493,683,19,15,492,705,19,15,490,754,18,14,1175,478,697,17,13,1192,411,781,17,13,1192,379,813,18,14,1213,365,848,18,14
