"연령별(1)","성별(1)",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"연령별(1)","성별(1)",총가입자수,총가입자수,총가입자수,총가입자수,총가입자수,총가입자수,총가입자수,총가입자수,총가입자수,총가입자수
"합계","계",15663881,16169339,16554121,17056789,17659255,17998055,18612582,18939569,19009014,19262617
"18~19세","계",93201,98769,100870,110924,115138,100553,80082,77936,64526,66826
"20~24세","계",650194,671518,699051,747833,776798,762381,788558,769019,740736,749178
"25~29세","계",1643426,1602036,1594029,1607355,1663301,1719382,1824482,1895384,1940037,1978068
"30~34세","계",2160804,2237230,2185394,2128771,2057639,1969648,1965045,1995500,2007240,2089254
"35~39세","계",2153176,2119412,2140353,2220523,2328552,2404246,2505405,2470626,2387695,2304072
"40~44세","계",2497327,2535622,2542430,2538883,2514846,2491076,2461144,2497854,2556944,2650769
"45~49세","계",2291974,2422730,2522798,2638038,2807778,2891251,2952025,2978015,2936130,2868089
"50~54세","계",2394338,2463875,2506841,2547495,2588292,2636205,2796556,2924674,3014528,3167900
"55~59세","계",1690856,1901123,2094317,2297851,2523775,2678018,2768684,2832694,2834620,2845340
"60세이상","계",88585,117024,168038,219116,283136,345295,470601,497867,526558,543121
